id,type,sku,name,productCategory,productImage,sizes,colors,stock,instock,description,discountedPrice,price,discount,newLaunch,templateKey,productDetails,materialName,sleeves,neckType,fabricType,packaging,washCare,ocassions,waistBand,fit
1,variable,SS21KP15GY,Printed Jacket Kurta Pajama Set- Grey,boys,productimages/SS21KP15GY-4.JPG,"1-(1-2 Years),2-(2-3 Years),3-(3-4 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",grey,1,TRUE,Printed Jacket Kurta Pajama Set- Grey,55,70,,TRUE,products-page,BownBee Full Sleeves Printed Attached Jacket Kurta & Pyjama Set - Grey,Cotton,Full Sleeves,Round Neck,Woven,With Jacket,Dryclean,Ethnic,Elastic,Regular
3,variable,HL20BDK01BL,Attached Jacket Dhoti Kurta For Boys-Blue,boys,productimages/HL20BDK01BL.JPG,"1-(6-12 Months),2-(1-2 Years),3-(2-3 Years),4-(3-4 Years)",blue,1,TRUE,Attached Jacket Dhoti Kurta For Boys-Blue,45,60,,TRUE,products-page,BownBee Full Sleeves Kurta With Attached Embroidered Jacket & Dhoti - Blue,Cotton,Full Sleeves,Round,Woven,Multi Pack,Dryclean,Ethnic,Elastic,Regular
4,variable,BDD012YW,Bownbee Kanhaiya Dhoti Kurta for Boys - Yellow,boys,productimages/BDD012YW.JPG,"1-(3-6 months),4-(2-3  Years),5-(3-4  Years)",yellow,1,TRUE,Bownbee Kanhaiya Dhoti Kurta for Boys - Yellow,35,45,,TRUE,products-page,BownBee Kanhaiya Solid Dhoti Kurta - Yellow,Polyster,Full Sleeves,Round Neck,Woven,Kurta Dhoti,Dryclean,Ethnic,Elastic,Regular
5,variable,DW19DK01BL,Sherwani Style Full Sleeve Boys Dhoti Kurta- Blue,boys,productimages/DW19DK01BL-2.JPG,"0-(6-9 Months),2-(1-2 Years),4-(3-4 Years),5-(4-5 Years),6-(5-6 Years),7-(6-7 Years),8-(7-8 Years),10-(9-10 Years)",blue,1,TRUE,Sherwani Style Full Sleeve Boys Dhoti Kurta- Blue,55,75,,TRUE,products-page,BownBee Solid Full Sleeves Sherwani With Dhoti - Blue & White,Silk Blend,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
6,variable,DW19DK01BK,Sherwani Style Full Sleeve Boys Dhoti Kurta- Black,boys,productimages/DW19DK01BK-3.JPG,"0-(6-9 Months),1-(9-12 Months),2-(1-2 Years),3-(2-3 Years),4-(3-4 Years),5-(4-5 Years),6-(5-6 Years),7-(6-7 Years)",black,1,TRUE,Sherwani Style Full Sleeve Boys Dhoti Kurta- Black,55,75,,TRUE,products-page,BownBee Solid Full Sleeves Sherwani With Dhoti - Black & Red,Silk Blend,Full Sleeves,Mandarin Collar,Woven,Single,Dryclean,Ethnic,Elastic,Regular
7,variable,WN19DK07SB,Attached Jacket Jacquard Dhoti Kurta For Baby Boys- Sky Blue,boys,productimages/WN19DK07SB-1.JPG,"12-(3-6 Months),14-(6-12 Months),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years),28-(7-8 Years),32-(9-10 Years)",skyblue,1,TRUE,Attached Jacket Jacquard Dhoti Kurta For Baby Boys- Sky Blue,45,75,,TRUE,products-page,BownBee Full Sleeves Kurta With Printed Attached Jacket & Dhoti - Blue,Cotton,Full Sleeves,Mandarin Collar,Woven,With Dhoti Pants,Dryclean,Ethnic,Elastic,Regular
8,variable,DW19DK05GR,Jaipuri Print Cotton Kedia Dhoti Set-green,boys,productimages/DW19DK05GR-5.JPG,"12-(3-6 Months),14-(6-12 Months),16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years)",green,1,TRUE,Jaipuri Print Cotton Kedia Dhoti Set-green,40,55,,TRUE,products-page,Bownbee Full Sleeves Motif Print Kurta With Dhoti - Green & Yellow,Printed cotton,Full Sleeves,Round,Woven,With Dhoti Pants,Dryclean,Ethnic,Elastic,Regular
9,variable,DW19DK05RD,Jaipuri Print Cotton Kedia Dhoti Set-Red,boys,productimages/DW19DK05RD-1.JPG,"12-(3-6 Months),14-(6-12 Months),16-(1-2 Years),18-(2-3 Years),20-(3-4 Years),22-(4-5 Years),24-(5-6 Years)",red,1,TRUE,Jaipuri Print Cotton Kedia Dhoti Set-Red,40,55,,TRUE,products-page,Bownbee Full Sleeves All Over Printed Kurta With Dhoti - Red & Yellow,Printed cotton,Full Sleeves,Round,Woven,With Dhoti Pants,Dryclean,Ethnic,Elastic,Regular
10,variable,DW19KP05YL,Attached Jacket Full Sleeve Kurta Pajama-Yellow,boys,productimages/DW19KP05YL-1.JPG,"1-(1-2 Years),4-(4-5 Years),5-(5-6 Years),6-(6-7 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",yellow,1,TRUE,Attached Jacket Full Sleeve Kurta Pajama-Yellow,55,60,,TRUE,products-page,Bownbee Full Sleeves Kurta With Pyjama & Attached Ikat Waistcoat Set - Yellow & White,Printed cotton,Full Sleeves,Mandarin Collar,Woven,With Jacket,Dryclean,Ethnic,Elastic,Regular
11,variable,DW19KP05BL,Attached Jacket Full Sleeve Kurta Pajama-Blue,boys,productimages/DW19KP05BL-1.JPG,"1-(1-2 Years),2-(2-3 Years),6-(6-7 Years),7-(7-8 Years),8-(8-9 Years),9-(9-10 Years),10-(10-11 Years)",blue,1,TRUE,Attached Jacket Full Sleeve Kurta Pajama-Blue,55,60,,TRUE,products-page,BownBee Full Sleeves Kurta & Pyjama Set With Attached Ikat Waistcoat - White & Blue,Printed cotton,Full Sleeves,Mandarin Collar,Woven,With Jacket,Dryclean,Ethnic,Elastic,Regular
